BusStopCode,Description,Latitude,Longitude,RoadName
78101,Opp Downtown East,1.37506644391944,103.95404801695994,Pasir Ris Dr 3
78109,Downtown East,1.37533322687905,103.95388142049359,Pasir Ris Dr 3
78111,Blk 479,1.37545781179514,103.95798631897796,Pasir Ris Dr 3
78119,Opp Blk 479,1.37568000002841,103.95796611110238,Pasir Ris Dr 3
78201,Opp Blk 242,1.37134689166636,103.96205663680765,Pasir Ris St 21
78209,Blk 242,1.3713650312338,103.96221418839181,Pasir Ris St 21
78211,Blk 204,1.36790255939851,103.96243675215658,Pasir Ris St 21
78219,Opp Blk 204,1.36725694472542,103.96327818546209,Pasir Ris St 21
78221,Blk 231A CP,1.37417517709229,103.96122560227602,Pasir Ris Dr 4
78229,Blk 485,1.37411139885456,103.96093853137384,Pasir Ris Dr 4
80049,Aft Sims Way,1.31077707819718,103.87363663982293,Geylang Rd
80051,Aft Lor 1 Geylang,1.31251499997324,103.87326194447365,Sims Ave
80069,Opp Mohd Salleh Mque,1.31214703288286,103.87715016317217,Geylang Rd
80071,Yi Xiu Fty Bldg,1.31380009198455,103.87655394006379,Sims Ave
80089,Bef Lor 18 Geylang,1.31274483593155,103.88080516731976,Geylang Rd
80091,Bef Lor 23 Geylang,1.31489775184137,103.88095141640784,Sims Ave
81081,Opp Aljunied Stn,1.31621665907428,103.88168156879213,Aljunied Rd
81089,Aljunied Stn,1.31628194302502,103.88202243551633,Aljunied Rd
81091,Sims Urban Oasis,1.31935333297674,103.88173111103306,Aljunied Rd
81099,Blk 102,1.31982276662398,103.88194665985091,Aljunied Rd
81101,CISCO Ctr,1.32111522416649,103.89152220076973,Paya Lebar Rd
81109,Opp CISCO Ctr,1.3209137166719,103.89117183414866,Paya Lebar Rd
81111,Paya Lebar Stn Exit B,1.31860238558389,103.89211689790608,Paya Lebar Rd
81119,Paya Lebar Stn Exit C,1.31856724602339,103.89169495502705,Paya Lebar Rd
81129,Paya Lebar Stn Exit D,1.31631147367096,103.89217268755989,Paya Lebar Rd
82071,Opp Tg Katong Girls' Sch,1.30725334418948,103.89541128171984,Tg Katong Rd
82079,Tg Katong Girls' Sch,1.30801114591342,103.8951960850957,Tg Katong Rd
82081,Aft Dunman Rd,1.31037284851913,103.89412794527634,Tg Katong Rd
82089,Aft Ipoh Lane,1.31086356037133,103.89430403711837,Tg Katong Rd
82091,Aft Queen Of Peace Ch,1.31264667096781,103.89411050584133,Tg Katong Rd
82099,CDAC Bldg,1.31299461549467,103.89427184817765,Tg Katong Rd
82119,Tg Katong Cplx,1.31619210726015,103.8940879247112,Tg Katong Rd
92041,Opp Parkway Parade,1.30327282994495,103.90583013375219,Marine Parade Rd
92049,Parkway Parade,1.302999,103.905955,Marine Parade Rd
92051,Opp Blk 72,1.30461834682389,103.90783296450577,Marine Parade Rd
