Postal,Latitude,Longtitude,Blk_no,Road_Name,Building,Address
823270,1.404315452,103.8988518,270C,PUNGGOL FIELD,PUNGGOL SAPPHIRE,270C PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 823270
820602,1.403197478,103.9073558,602,PUNGGOL CENTRAL,PUNGGOL VISTA,602 PUNGGOL CENTRAL PUNGGOL VISTA SINGAPORE 820602
821601,1.402468466,103.9075822,601A,PUNGGOL CENTRAL,PUNGGOL VISTA,601A PUNGGOL CENTRAL PUNGGOL VISTA SINGAPORE 821601
821602,1.403480538,103.9071174,602A,PUNGGOL CENTRAL,PUNGGOL VISTA,602A PUNGGOL CENTRAL PUNGGOL VISTA SINGAPORE 821602
822601,1.402147022,103.9078319,601B,PUNGGOL CENTRAL,PUNGGOL VISTA,601B PUNGGOL CENTRAL PUNGGOL VISTA SINGAPORE 822601
822602,1.403012767,103.9068635,602B,PUNGGOL CENTRAL,PUNGGOL VISTA,602B PUNGGOL CENTRAL PUNGGOL VISTA SINGAPORE 822602
823601,1.40267897,103.9081061,601C,PUNGGOL CENTRAL,PUNGGOL VISTA,601C PUNGGOL CENTRAL PUNGGOL VISTA SINGAPORE 823601
823602,1.402713299,103.9072462,602C,PUNGGOL CENTRAL,PUNGGOL VISTA,602C PUNGGOL CENTRAL PUNGGOL VISTA SINGAPORE 823602
821637,1.399693672,103.914597,637A,PUNGGOL DRIVE,THE MEADOWS,637A PUNGGOL DRIVE THE MEADOWS SINGAPORE 821637
821638,1.400123957,103.9148717,638A,PUNGGOL DRIVE,THE MEADOWS,638A PUNGGOL DRIVE THE MEADOWS SINGAPORE 821638
821641,1.398554823,103.9170016,641A,PUNGGOL DRIVE,THE MEADOWS,641A PUNGGOL DRIVE THE MEADOWS SINGAPORE 821641
821642,1.398162762,103.9167142,642A,PUNGGOL DRIVE,THE MEADOWS,642A PUNGGOL DRIVE THE MEADOWS SINGAPORE 821642
822637,1.39949597,103.9149545,637B,PUNGGOL DRIVE,THE MEADOWS,637B PUNGGOL DRIVE THE MEADOWS SINGAPORE 822637
822638,1.399824434,103.915139,638B,PUNGGOL DRIVE,THE MEADOWS,638B PUNGGOL DRIVE THE MEADOWS SINGAPORE 822638
822641,1.398792102,103.9166252,641B,PUNGGOL DRIVE,THE MEADOWS,641B PUNGGOL DRIVE THE MEADOWS SINGAPORE 822641
822642,1.398284533,103.9162553,642B,PUNGGOL DRIVE,THE MEADOWS,642B PUNGGOL DRIVE THE MEADOWS SINGAPORE 822642
823637,1.399179807,103.9150066,637C,PUNGGOL DRIVE,THE MEADOWS,637C PUNGGOL DRIVE THE MEADOWS SINGAPORE 823637
823638,1.399676335,103.9153916,638C,PUNGGOL DRIVE,THE MEADOWS,638C PUNGGOL DRIVE THE MEADOWS SINGAPORE 823638
823641,1.398940204,103.9163726,641C,PUNGGOL DRIVE,THE MEADOWS,641C PUNGGOL DRIVE THE MEADOWS SINGAPORE 823641
823642,1.398600697,103.9162033,642C,PUNGGOL DRIVE,THE MEADOWS,642C PUNGGOL DRIVE THE MEADOWS SINGAPORE 823642
821169,1.393082747,103.9142822,169A,PUNGGOL FIELD,THE NAUTILUS @ PUNGGOL,169A PUNGGOL FIELD THE NAUTILUS @ PUNGGOL SINGAPORE 821169
821170,1.393560948,103.9148607,170A,PUNGGOL FIELD,THE NAUTILUS @ PUNGGOL,170A PUNGGOL FIELD THE NAUTILUS @ PUNGGOL SINGAPORE 821170
822169,1.393224665,103.9140677,169B,PUNGGOL FIELD,THE NAUTILUS @ PUNGGOL,169B PUNGGOL FIELD THE NAUTILUS @ PUNGGOL SINGAPORE 822169
822170,1.393337746,103.9147009,170B,PUNGGOL FIELD,THE NAUTILUS @ PUNGGOL,170B PUNGGOL FIELD THE NAUTILUS @ PUNGGOL SINGAPORE 822170
823168,1.393903151,103.9137768,168C,PUNGGOL FIELD,THE NAUTILUS @ PUNGGOL,168C PUNGGOL FIELD THE NAUTILUS @ PUNGGOL SINGAPORE 823168
823169,1.393621092,103.9142236,169C,PUNGGOL FIELD,THE NAUTILUS @ PUNGGOL,169C PUNGGOL FIELD THE NAUTILUS @ PUNGGOL SINGAPORE 823169
823170,1.393107842,103.9145464,170C,PUNGGOL FIELD,THE NAUTILUS @ PUNGGOL,170C PUNGGOL FIELD THE NAUTILUS @ PUNGGOL SINGAPORE 823170
824168,1.393746768,103.9140016,168D,PUNGGOL FIELD,THE NAUTILUS @ PUNGGOL,168D PUNGGOL FIELD THE NAUTILUS @ PUNGGOL SINGAPORE 824168
821195,1.401386916,103.9060812,195A,PUNGGOL ROAD,THE PERIWINKLE,195A PUNGGOL ROAD THE PERIWINKLE SINGAPORE 821195
822195,1.401372012,103.9064857,195B,PUNGGOL ROAD,THE PERIWINKLE,195B PUNGGOL ROAD THE PERIWINKLE SINGAPORE 822195
823195,1.401092071,103.9068312,195C,PUNGGOL ROAD,THE PERIWINKLE,195C PUNGGOL ROAD THE PERIWINKLE SINGAPORE 823195
821167,1.393908248,103.9151069,167A,PUNGGOL EAST,THE SUNDIAL,167A PUNGGOL EAST THE SUNDIAL SINGAPORE 821167
821168,1.394589169,103.9142388,168A,PUNGGOL EAST,THE SUNDIAL,168A PUNGGOL EAST THE SUNDIAL SINGAPORE 821168
822167,1.394227136,103.9149774,167B,PUNGGOL EAST,THE SUNDIAL,167B PUNGGOL EAST THE SUNDIAL SINGAPORE 822167
822168,1.394496029,103.913979,168B,PUNGGOL EAST,THE SUNDIAL,168B PUNGGOL EAST THE SUNDIAL SINGAPORE 822168
823167,1.394388962,103.9147524,167C,PUNGGOL EAST,THE SUNDIAL,167C PUNGGOL EAST THE SUNDIAL SINGAPORE 823167
824167,1.394548399,103.9145293,167D,PUNGGOL EAST,THE SUNDIAL,167D PUNGGOL EAST THE SUNDIAL SINGAPORE 824167
821305,1.405079118,103.906706,305A,PUNGGOL ROAD,TREELODGE@PUNGGOL,305A PUNGGOL ROAD TREELODGE@PUNGGOL SINGAPORE 821305
821306,1.406092596,103.9053953,306A,PUNGGOL PLACE,TREELODGE@PUNGGOL,306A PUNGGOL PLACE TREELODGE@PUNGGOL SINGAPORE 821306
822305,1.405351919,103.9062507,305B,PUNGGOL ROAD,TREELODGE@PUNGGOL,305B PUNGGOL ROAD TREELODGE@PUNGGOL SINGAPORE 822305
822306,1.405792305,103.9057772,306B,PUNGGOL PLACE,TREELODGE@PUNGGOL,306B PUNGGOL PLACE TREELODGE@PUNGGOL SINGAPORE 822306
823306,1.406403852,103.9059582,306C,PUNGGOL PLACE,TREELODGE@PUNGGOL,306C PUNGGOL PLACE TREELODGE@PUNGGOL SINGAPORE 823306
